	item_id
0	Q1000
1	Q1005
2	Q1005307
3	Q1006
4	Q1007
5	Q1008
6	Q1009
7	Q100938408
8	Q1011
9	Q1013
10	Q1014
11	Q1016
12	Q1017396
13	Q1019
14	Q1020
15	Q102460360
16	Q1025
17	Q1027
18	Q1028
19	Q1029
20	Q10295972
21	Q1030
22	Q1031430
23	Q1032
24	Q1033
25	Q1036
26	Q1037
27	Q1039
28	Q1041
29	Q10416611
30	Q1042
31	Q104313166
32	Q104314905
33	Q1044
35	Q104439864
36	Q1044536
37	Q1045
38	Q104813213
39	Q1048340
40	Q104836859
41	Q1048918
42	Q1049
44	Q104904551
45	Q104968833
46	Q1050
47	Q105027870
48	Q105035102
49	Q105082407
50	Q105107051
51	Q1054184
52	Q1055227
53	Q105576058
54	Q1057076
55	Q105728458
56	Q1057542
57	Q1062546
58	Q106395631
59	Q106395898
60	Q106396961
61	Q106518226
62	Q106540706
63	Q1065583
64	Q106597444
65	Q106620215
66	Q107171994
67	Q1072140
68	Q107221091
69	Q107258515
70	Q1074730
71	Q1078602
72	Q1081620
73	Q108266
75	Q10921634
76	Q10921952
77	Q10928369
78	Q10957559
79	Q10975458
80	Q1106424
81	Q1106857
82	Q11078576
83	Q11117817
84	Q11134440
85	Q11196
86	Q1128488
87	Q11310263
88	Q1133272
89	Q11352710
90	Q11353806
91	Q1138750
92	Q114
93	Q1140152
94	Q11401819
95	Q1141500
96	Q11458165
97	Q1146786
98	Q1148907
99	Q115
100	Q1152126
101	Q1155700
102	Q1158213
103	Q11681694
104	Q117
105	Q117020
106	Q11722044
107	Q11774
108	Q1188459
109	Q1191125
110	Q11927108
111	Q11929756
112	Q11950523
113	Q11950939
114	Q1195273
115	Q12035643
116	Q1206012
117	Q12060881
118	Q12165474
119	Q121932
120	Q1231
121	Q1240096
122	Q1240920
123	Q1245540
124	Q1246
125	Q1246
126	Q12490507
127	Q12491044
128	Q12491063
129	Q1249230
130	Q124943
131	Q1251091
132	Q1252656
133	Q12544
135	Q12548
136	Q12557
137	Q12560
139	Q1256820
140	Q12633982
141	Q12639337
142	Q12641662
143	Q126936
144	Q1269663
145	Q1277557
146	Q1277895
147	Q127861
149	Q12823845
150	Q12842865
151	Q12901849
152	Q129286
153	Q12984995
154	Q130229
155	Q130280
156	Q13053139
157	Q130654
158	Q1314643
159	Q131964
160	Q1320844
161	Q1322424
162	Q13258120
163	Q132856
164	Q133356
165	Q13474305
166	Q1348750
167	Q13553810
168	Q13590051
169	Q1361989
170	Q1362278
171	Q13662759
172	Q1381504
173	Q138837
174	Q139319
175	Q139377
176	Q139670
177	Q140359
178	Q140646
179	Q1410
180	Q1410
181	Q1415128
182	Q141646
184	Q142
185	Q1427305
186	Q1433125
187	Q1433131
188	Q1433142
189	Q1433867
190	Q1444485
191	Q145
192	Q14624218
193	Q146246
