	item_id	book_instance	reports_policy_legislation_and_technical_documentation_instance	databases_instance	academic_scientific	news_media_sources	wiki	category	Item label	Item ID	Weighted ORES Score
15	Q100063	1	0	4	0	0	0	human	Ragnhild Haga	Q100063	3.91
17	Q10007	6	0	12	0	0	1	human	Zhengde Emperor	Q10007	4.0
19	Q100074	25	0	21	0	0	0	human	Jessie Diggins	Q100074	4.62
21	Q100116	19	0	8	0	0	3	human	Christoph Weigel the Elder	Q100116	3.99
23	Q100174	4	0	5	0	0	4	human	Robert Kosch	Q100174	3.9
25	Q100176	1	0	0	0	0	0	human	Adelbert Mühlschlegel	Q100176	3.0
27	Q100184	2	0	2	0	0	2	human	Ernst-Wilhelm Reinert	Q100184	3.39
29	Q100201	4	0	7	0	0	1	human	Anton Ferdinand von Rothkirch und Panten	Q100201	3.84
31	Q100213	23	0	7	0	0	0	human	Otto Friedrich August Meinardus	Q100213	3.89
33	Q100215	3	0	0	0	0	0	human	Justus Scharowsky	Q100215	3.73
35	Q100221	6	0	0	0	0	1	human	René Bielke	Q100221	3.86
37	Q100232	17	0	5	1	0	0	human	Tamara Bach	Q100232	4.2
39	Q100242	6	0	6	2	0	0	human	Johann Jakob Dorner the Younger	Q100242	3.72
41	Q100252	6	0	2	0	0	2	human	Johann Nepomuk von Ringseis	Q100252	3.95
43	Q100265	5	0	8	0	0	0	human	Johann Salver	Q100265	3.9
45	Q100267	1	0	0	0	0	0	human	Joachim Busse	Q100267	2.99
47	Q100273	1	0	1	0	0	0	human	Sabine Huth	Q100273	3.04
49	Q100274	10	0	5	0	0	3	human	Waldemar Petersen	Q100274	3.71
51	Q100277	6	0	1	0	0	0	human	Moritz Fleischer	Q100277	3.89
53	Q100299	9	0	1	0	0	0	human	Ursula Herking	Q100299	3.97
55	Q100317	3	0	0	0	0	0	human	Alisha Ossowski	Q100317	3.72
57	Q100327	9	0	2	0	0	0	human	Wilhelm Spemann	Q100327	3.94
59	Q100328	13	0	2	0	0	0	human	Volker Michael Strocka	Q100328	3.93
61	Q100334	3	0	2	0	0	0	human	Niclas Müller	Q100334	3.66
63	Q100335	6	0	0	0	0	1	human	Karl-Heinz Schönfelder	Q100335	3.86
65	Q100349	7	0	1	0	0	0	human	Isabel Bongard	Q100349	3.46
67	Q100377	4	0	1	0	0	1	human	Ludwig von Tiedemann	Q100377	3.87
69	Q100385	2	0	2	0	0	0	human	Otto Kleingünther	Q100385	3.01
71	Q100401	2	0	0	0	0	0	human	Waltrude Schleyer	Q100401	3.64
73	Q100414	4	0	0	0	0	0	human	Rudolf von Waldenfels	Q100414	3.01
75	Q100440	16	0	11	0	1	10	human	Larry Hagman	Q100440	4.9
77	Q100443	6	0	5	0	0	1	human	Martin Schäuble	Q100443	3.87
79	Q100447	0	0	3	0	0	0	human	Alphons J. van der Grinten	Q100447	3.66
81	Q100462	9	0	3	0	0	0	human	Franz Lemmermeyer	Q100462	3.93
83	Q100463	4	0	1	0	0	0	human	August zu Eulenburg	Q100463	3.96
85	Q100464	9	0	7	0	0	1	human	Ronny	Q100464	4.13
87	Q100467	3	0	2	0	0	0	human	Karl von Schönstedt	Q100467	3.8
89	Q100472	3	0	1	0	0	0	human	Ludwig Karl Böhm	Q100472	3.23
91	Q100477	7	0	0	0	0	0	human	Theodor Hoffmann	Q100477	3.07
93	Q100480	8	0	0	0	0	1	human	Peter Gloystein	Q100480	3.35
95	Q100491	5	0	5	0	0	0	human	Jacob Gabriel Wolf	Q100491	3.79
97	Q100497	6	0	1	0	0	0	human	Wilhelm von Boddien	Q100497	3.52
99	Q100498	4	0	0	0	0	0	human	Kurt Täger	Q100498	3.01
101	Q100505	3	0	2	0	0	0	human	Johann Christian Nehring	Q100505	3.87
103	Q100508	6	0	8	0	0	0	human	Prätorius von Richthofen	Q100508	3.94
105	Q100509	2	0	1	0	0	1	human	Rita Daimer	Q100509	3.23
107	Q100511	15	0	9	0	0	6	human	Willibald Sauerländer	Q100511	4.05
109	Q100517	16	0	1	0	0	1	human	Werner Dreßel	Q100517	3.61
111	Q100520	16	0	7	0	0	0	human	Wilhelm Weigand	Q100520	3.92
113	Q100526	5	0	0	0	0	0	human	Oscar Döring	Q100526	3.0
115	Q100529	8	0	3	0	0	1	human	Rudolf Lenz	Q100529	3.9
117	Q100534	9	0	2	0	0	0	human	Gerhard Henkel	Q100534	3.78
119	Q100548	11	0	3	0	0	1	human	Theodor Seitz	Q100548	4.24
121	Q100549	13	0	4	0	0	0	human	Wolfgang Böhme	Q100549	3.88
123	Q100558	9	0	0	0	0	0	human	Helmut Diegel	Q100558	3.84
125	Q100564	10	0	1	0	0	0	human	Wolfgang Jäger	Q100564	3.83
127	Q100568	9	0	0	0	0	0	human	Wilfried Hasselmann	Q100568	3.79
129	Q10058	6	0	3	0	0	0	human	Justine Smethurst	Q10058	3.82
131	Q100585	2	0	2	0	0	1	human	Wolfgang Fleck	Q100585	3.57
133	Q100587	11	0	3	0	0	0	human	Heinrich Wenzel	Q100587	3.67
135	Q100591	3	0	5	0	0	0	human	Burchard III van Schraplau	Q100591	3.92
137	Q100593	7	0	3	0	0	0	human	Egbert von Frankenberg	Q100593	3.92
139	Q100594	2	0	0	0	0	0	human	Werner Winkler	Q100594	3.03
141	Q100595	5	0	0	0	0	0	human	Clemens Buff	Q100595	3.82
143	Q100618	1	0	2	0	0	0	human	Viktor Otto	Q100618	3.78
145	Q100622	8	0	0	0	0	0	human	Eberhard von Mantey	Q100622	3.78
147	Q100632	4	0	3	0	0	0	human	Burchard Müller von der Lühne	Q100632	3.8
149	Q100633	14	0	2	6	0	0	human	Otto Koellreutter	Q100633	3.93
151	Q100646	1	0	0	0	0	0	human	Wilhelm Münker	Q100646	3.03
153	Q100647	5	0	0	0	0	0	human	Klaus Luhmer	Q100647	3.69
155	Q10065	0	0	11	0	0	0	human	Taichang Emperor	Q10065	3.48
157	Q100667	18	0	7	0	0	0	human	Ingeborg Weber-Kellermann	Q100667	3.94
159	Q100668	10	0	1	0	0	1	human	Andreas Homoki	Q100668	3.7
161	Q100672	11	0	8	0	0	0	human	Christian Wilhelm Ahlwardt	Q100672	3.9
163	Q100678	4	0	1	0	0	0	human	Otto Koch	Q100678	3.79
165	Q100679	6	0	19	0	0	0	human	Gerhard Preuß	Q100679	3.93
167	Q100680	6	0	4	1	0	0	human	Christoph Türcke	Q100680	3.94
169	Q100698	3	0	4	0	0	1	human	Franz Josef Meinrad Merkel	Q100698	3.14
171	Q100707	11	0	5	2	0	0	human	Franz Ludwig Fick	Q100707	4.15
173	Q100708	10	0	1	0	0	1	human	Heinz Schimmelpfennig	Q100708	3.88
175	Q100715	5	0	0	0	0	0	human	Alfons Rosenberg	Q100715	3.94
177	Q100759	9	0	2	0	0	0	human	Igor Levit	Q100759	4.03
179	Q100791	15	0	11	0	0	0	human	Fedor von Zobeltitz	Q100791	4.0
181	Q100793	9	0	1	0	0	0	human	Jens Alber	Q100793	3.74
183	Q100816	6	0	0	0	0	0	human	Karl Zuhorn	Q100816	3.04
185	Q100835	4	0	0	0	0	0	human	Theodor Steche	Q100835	3.84
187	Q100840	2	0	0	0	0	0	human	Johann Scheibe	Q100840	3.68
189	Q100841	6	0	1	0	0	1	human	Michael Maertens	Q100841	4.2
191	Q100847	8	0	0	0	0	0	human	Hans-Jürgen Schaal	Q100847	3.63
193	Q10089	12	0	5	0	0	2	human	Julia Mancuso	Q10089	3.72
195	Q100910	20	0	14	0	0	0	human	Caspar Merian	Q100910	3.96
197	Q100917	3	0	1	0	0	0	human	Heidi Roth	Q100917	3.0
199	Q100935	4	0	0	0	0	0	human	Friedrich Ackermann	Q100935	3.7
201	Q100937	40	0	18	0	0	3	human	Fred Astaire	Q100937	4.94
203	Q100941	5	0	1	0	0	0	human	Christoph John	Q100941	3.05
205	Q10095	6	0	4	0	0	1	human	Annelise Coberger	Q10095	3.1
207	Q100969	14	0	2	0	0	1	human	Gerhard Hirschfeld	Q100969	3.97
209	Q100971	4	0	1	0	0	1	human	Egidius Schiffer	Q100971	3.02
211	Q101013	2	0	2	0	0	1	human	Otto Hunsche	Q101013	3.0
213	Q101014	8	0	3	0	0	0	human	Daniela von Bülow	Q101014	3.98
215	Q101019	7	0	1	0	0	0	human	Marie Rönnebeck	Q101019	3.86
217	Q101037	11	0	4	0	0	0	human	Hans Siemsen	Q101037	3.91
219	Q10106	6	0	2	0	0	1	human	Kerstin Szymkowiak	Q10106	3.14
221	Q101074	11	0	0	0	0	0	human	Enno Hagenah	Q101074	3.46
223	Q101091	5	0	1	0	0	0	human	Manuela Stehr	Q101091	3.89
225	Q101103	6	0	0	0	0	0	human	Heinrich Wesche	Q101103	3.81
227	Q10112	14	0	1	0	5	0	human	Edith Hannam	Q10112	4.06
229	Q101140	4	0	0	0	0	0	human	Fritz Pröll	Q101140	2.99
