	item_id	book_instance	reports_policy_legislation_and_technical_documentation_instance	databases_instance	academic_scientific	news_media_sources	wiki	category	Item label	Item ID	Weighted ORES Score
16	Q22340118	6	0	0	0	0	0	human	Thomas G. Schulze	Q22340118	3.01
17	Q22340173	0	0	0	0	0	0	human	Yong Sin	Q22340173	2.43
18	Q22340179	2	0	2	1	0	0	human	Charles Fine	Q22340179	2.14
19	Q22340326	0	0	0	0	0	0	human	Dorothy Russel	Q22340326	1.64
20	Q22340372	6	0	2	0	0	0	human	Amer Haroon	Q22340372	3.16
21	Q22340505	7	0	0	0	0	0	human	Erna Pfeiffer	Q22340505	3.01
22	Q22340515	1	0	1	0	0	0	human	Bor Pavlovčič	Q22340515	3.24
23	Q22340631	0	0	3	0	0	0	human	Tibor Molek	Q22340631	2.57
24	Q22340640	2	0	0	0	0	0	human	Dominic Hackl	Q22340640	3.41
25	Q22340653	0	0	6	0	0	3	human	Julio Juan Bardi	Q22340653	3.06
26	Q22340727	0	0	2	0	0	1	human	Horacio Faruolo	Q22340727	2.91
27	Q22340957	7	0	8	0	0	1	human	Villiers Hatton	Q22340957	3.59
28	Q22341161	0	0	6	0	0	0	human	Lotten Ekman	Q22341161	3.7
29	Q22341334	1	0	2	0	0	0	human	Modest Stein	Q22341334	3.06
30	Q22341412	1	0	0	0	0	0	human	Rosita Beatrice Missick-Butterfield	Q22341412	2.96
31	Q22341458	0	0	1	0	0	2	human	Inga Anne Vasaasen	Q22341458	3.73
32	Q22341622	0	0	2	0	0	1	human	Raúl Mac Burney	Q22341622	2.75
33	Q22341678	0	0	1	0	0	0	human	Müyesser Yıldız	Q22341678	2.95
34	Q22341686	1	0	3	0	0	0	human	Bartholomäus Milwitz	Q22341686	3.14
35	Q22341846	0	0	4	0	0	0	human	Giovanni Fabris	Q22341846	3.1
36	Q22341919	1	0	6	1	0	0	human	Giovanni Battista Ortolani Damon	Q22341919	3.87
37	Q22342219	2	0	0	0	0	0	human	Harry Lyndsay Manby	Q22342219	2.89
38	Q22342280	2	0	0	0	0	1	human	Miranda Dodson	Q22342280	2.93
