Item label,Item ID,Weighted ORES Score
Round Valley Indian Tribes,Q24256362,2.00
Aghem polity,Q58359538,2.02
Tashkent Khanate,Q4453007,2.05
Hoopa Valley Tribe,Q42305782,2.01
Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,Q63386746,2.04
Upper Mattaponi Tribe,Q56886322,2.21
Mescalero Apache Tribe,Q30258193,2.08
,Q12901849,1.02
Stewart Bank,Q15932370,1.36
Chickahominy Tribe,Q57047524,2.16
kingdom of Maroboduus,Q12035643,1.99
Tswanaland,Q664980,2.94
Hereroland,Q1609800,2.81
East Caprivi,Q1660773,2.98
Namaland,Q1964139,2.84
Fort Peck Assiniboine and Sioux Tribes,Q100938408,2.07
Tocobaga,Q3513333,2.25
Demchok western sector,Q104314905,2.02
Demchok eastern sector,Q104313166,2.02
Kewa Puebloan,Q104439864,2.01
Uzita,Q7905061,2.01
Buima,Q4986697,2.79
Busiki,Q5001642,1.10
Neptune's Window,Q6995613,2.11
Little River Band of Ottawa Indians,Q6651681,1.97
Maungwe,Q6792579,2.01
Strovilia,Q7624924,2.63
Stockbridge-Munsee Community,Q1695829,2.07
Pajalat,Q7125272,2.01
Chiefdom of Yongning,Q15913158,2.91
Navesink tribe,Q16932542,1.10
Kavangoland,Q1737252,2.92
Govera,Q5588613,2.04
Qahatika,Q7265832,2.02
Shawasha,Q7491227,2.01
Chiefdom of Shuidong,Q77941013,1.08
Pokanoket,Q151227,2.09
Amabi,Q451677,2.05
Kotokolia,Q748876,2.09
O'odham,Q2043383,2.07
Bocha Chiefdom,Q4936213,2.01
Hannahville Indian Community,Q5649005,2.03
Hia C-eḍ O'odham,Q5750473,2.19
North Rupununi,Q7056564,1.31
Casson,Q16321378,2.01
Doklam,Q32744297,2.93
Nansemond,Q3502382,2.15
Spirit Lake Tribe,Q7577890,2.84
KwaNdebele,Q1433142,2.98
Kopane,Q1783866,2.22
,Q15119951,2.02
Depsang Bulge,Q104968833,2.01
Skykomish,Q2293341,1.73
Mesa Grande Band of Diegueno Mission Indians,Q6821065,2.14
Federated Indians of Graton Rancheria,Q5440682,2.03
Sycuan Band of the Kumeyaay Nation,Q7659641,2.18
Campo Reservation,Q63431585,2.03
Ewiiaapaayp Reservation,Q5419035,2.04
Santa Ysabel Reservation,Q13553810,2.10
Manzanita Reservation,Q6753441,2.62
San Pasqual Reservation,Q7415075,2.06
Viejas Reservation,Q7928263,2.72
Pala Reservation,Q105576058,2.06
,Q3403538,1.57
,Q3446187,1.58
,Q3446276,1.43
,Q3933259,1.52
,Q16674381,1.52
,Q2220343,1.99
Republic of Valsesia,Q3933257,2.58
,Q3933254,1.52
,Q3933256,1.42
,Q22357543,2.74
South Reef,Q6825636,2.15
West London Reef,Q6705278,2.15
Inaja and Cosmit Reservation,Q6013402,2.63
Rincon Reservation,Q7334608,2.65
Eastern Chickahominy,Q57048756,2.16
Bernadette Lake,Q22397274,2.92
,Q25389661,2.17
,Q4144442,2.12
,Q4237669,2.12
,Q4220740,2.03
Vanguard Bank,Q11353806,2.60
Tulunid emirate,Q4147013,3.20
Tawang Region,Q17500807,2.01
Brandenburg colonial empire,Q2523837,1.49
Nez Perce Tribe,Q106620215,2.01
Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony,Q6492656,2.04
Coast Miwok,Q1256820,2.11
Blanchet Lake,Q22565164,3.03
Snohomish Tribe of Indians,Q104813213,2.09
Carol Lake,Q22444346,3.13
Barona Band of Mission Indians,Q4862966,2.19
Marquisate of Zuccarello,Q3845765,2.84
Lough Foyle,Q1314643,2.99
Chiefdom of Lijiang,Q11310263,2.96
Minnesota Chippewa Tribe,Q3508603,2.13
Bois Forte Band of Chippewa,Q4938422,2.41
Leech Lake Band of Ojibwe,Q6515751,2.04
Upper Sioux Community,Q17307083,2.12
Poarch Band of Creek Indians,Q7206169,2.08
Native Village of Afognak,Q6980078,2.02
Agdaagux Tribe of King Cove,Q107221091,2.02
Cocopah Tribe of Arizona,Q57064848,2.12
Fort Mojave Indian Tribe,Q57061684,2.06
Southern Ute Indian Tribe,Q12633982,2.04
Mohegan Tribe,Q6894116,2.08
Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,Q5470818,2.60
Jamul Village,Q6148290,2.10
Dyomin Islands,Q904882,2.99
Mashantucket Pequot Tribe,Q106540706,2.03
Da Ming Shun Tian Guo,Q15903902,2.17
Ramona Band of Cahuilla,Q7289903,2.03
Soboba Reservation,Q7550108,2.53
Wiyot Tribe,Q88901133,2.02
Republic of Alto Monferrato,Q18397500,1.99
Republic of Bobbio,Q15127142,1.30
Foto Chiefdom,Q27603032,2.92
Cohonina,Q5141402,2.01
,Q15925270,1.82
,Q15923957,1.82
Thổ Chu Island,Q1767799,2.95
Xiaohuangyu Island,Q15916186,1.94
,Q15924538,1.82
Feiyun Island,Q15925138,1.94
Huangguyu Island,Q15916216,2.12
Dahuangyu Island,Q17023687,1.91
Hambakseom island,Q27245586,2.82
Changyu Island,Q15914793,1.94
Free Republic of Nias,Q65208360,2.03
Chemehuevi Indian Tribe of the Chemehuevi Reservation,Q14681735,2.10
Augustine Band of Cahuilla Indians,Q4821154,2.03
Cahuilla Band of Mission Indians of the Cahuilla Reservation,Q5017466,2.11
Tule River Indian Tribe of the Tule River Reservation,Q7851995,2.05
,Q13662759,2.14
Eastern Shoshone,Q307014,2.00
Rehoboth,Q2139012,2.99
,Q21076457,1.62
Seqalu,Q16321580,2.07
Eastern Karakhanids Khanate,Q6773257,1.99
Tsakhur Khanate,Q4503364,1.80
Lonc-kjauw,Q97351967,2.88
Washoe Tribe of Nevada and California,Q7972620,2.82
Confederated Tribes of the Goshute Reservation,Q15079932,2.03
La Posta Reservation,Q6464552,2.07
Dry Creek Rancheria Band of Pomo Indians,Q5309502,2.07
Gazankulu,Q1348750,3.00
Buzaaya,Q5003413,1.71
Acoma Pueblo tribe,Q85119937,2.04
Arsigantegok,Q704942,2.01
La Jolla Band of Luiseño Indians,Q14682998,2.09
Demchok sector,Q96807758,2.06
,Q11929756,1.62
Bushmanland,Q1017396,2.99
Lebowa,Q1433131,2.99
Kura Khanate,Q4251265,1.16
Mississippi Band of Choctaw Indians,Q6879061,2.04
Minerva Reefs,Q1138750,3.00
Longtouyu Island,Q15915038,2.63
Aroostook Band of Micmac,Q14715170,2.02
Berry Creek Rancheria of Maidu Indians of California,Q4894782,2.02
Coquille Indian Tribe,Q5169327,2.01
Ilemi Triangle,Q973527,2.94
,Q12984995,1.02
,Q20572155,1.02
Kongu Country Forest,Q15708442,1.02
Sisseton Wahpeton Oyate,Q2590690,2.88
Catalan Republic,Q42346198,3.17
Republic of Logone,Q23906811,3.00
Islamic Republic of Qaim,Q21076535,2.01
Sumapaz,Q11950523,2.01
Republic of Galicia,Q7314468,2.99
Islamic Emirate of Waziristan,Q2320255,2.09
Banat Republic,Q156513,3.17
Free Dadra and Nagar Haveli,Q86750256,2.03
,Q99868017,2.02
,Q102460360,1.84
,Q4336183,2.45
Bad River Band of the Lake Superior Tribe of Chippewa Indians,Q4840420,2.05
Charding Nullah,Q67172750,2.40
Republic of Indian Stream,Q3304333,2.54
Abazinia,Q1968554,2.84
Socialist Republic of Chile,Q2022804,3.08
Republic of Vinica,Q19937663,2.15
Frisian Kingdom,Q87791,3.05
Free Imperial City of Nuremberg,Q117020,3.02
United Provinces of Central Italy,Q2268597,3.01
Federal Islamic Republic of the Comoros,Q16674377,3.01
Danube Bulgar Khanate,Q3196064,2.19
Sovereign Principality of the United Netherlands,Q774783,2.97
Commonwealth realm of Trinidad and Tobago,Q7842409,3.00
Diggers Republic,Q21849591,2.12
,Q23502363,1.61
Republic „Otto Luoghi“,Q96051590,2.93
Dosso Kingdom,Q4167201,2.47
Tasik,Q11950939,2.21
Commonwealth realm of Tanganyika,Q19929935,2.21
Imperial City of Windsheim,Q2327097,2.29
,Q16674373,2.29
,Q2362063,1.79
Jiandao,Q708640,2.97
Kaokoland,Q1720063,2.99
Empire of Kitara,Q1444485,2.41
Sakalava chiefdom of the Menabe,Q3932075,2.00
Kanem Empire,Q1537016,3.01
King of Oussouye,Q3446145,1.62
Old Saxony,Q3057629,2.92
Ute Mountain Ute Tribe,Q7902611,2.16
,Q15788609,2.03
Kingdom Shunzheng,Q15905301,1.97
Cayuga Nation of New York,Q16148273,2.02
Pascua Yaqui Tribe,Q7141853,2.05
Damaraland,Q1158213,3.02
Busoga,Q691037,2.87
Republic of Liège,Q3456469,2.99
Fuladu,Q3079884,2.96
Kingdom of Fez,Q2300246,2.90
Toltec Empire,Q17523945,2.03
Chola empire,Q25591771,1.77
,Q4314897,1.66
,Q2072263,2.02
Saffarid Empire,Q65037349,1.69
,Q824047,2.31
Yaudheya,Q8050331,1.79
,Q59586537,1.33
San Juan Southern Paiute Tribe of Arizona,Q7414619,2.63
,Q7450319,1.01
Kingdom of Polonnaruwa,Q3167772,2.98
,Q39944272,1.01
,Q99608926,1.01
,Q23500515,1.50
Hualapai,Q1936651,2.99
Derbent khanate,Q1740529,2.29
Territories occupied by Azerbaijan,Q105728458,1.61
Standing Rock Sioux Tribe,Q17280792,2.96
Chekhove,Q4515234,3.03
Lesser Tunb,Q3447452,3.01
Alsu,Q4303069,2.99
District of Branković,Q3623202,2.27
QwaQwa,Q179548,2.99
Rosebud Sioux Tribe,Q17280097,2.10
Kazikumukh Khanate,Q4208290,2.23
,Q3446133,1.51
Cocieri,Q2261598,2.99
Roman Republic,Q1072140,3.42
Señorío of Cuzcatlán,Q1146786,3.06
Khoy Khanate,Q4498927,2.87
Gallic Empire,Q273025,3.06
Snoqualmie Indian Tribe,Q141646,2.98
Tulalip Tribes of Washington,Q1516298,3.81
San Carlos Apache Tribe,Q12641662,2.10
Quinault Indian Nation,Q15270596,2.91
Swinomish Indian Tribal Community,Q16900986,2.93
Samish Indian Nation,Q17017294,2.84
Yakama Indian Nation,Q27464926,2.04
Coeur d’Alene Tribe,Q104836859,2.14
Chitimacha Tribe of Louisiana,Q104904551,2.15
Muckleshoot Indian Tribe,Q105035102,2.18
Makah Indian Tribe of the Makah Indian Reservation,Q105107051,2.09
Nooksack Indian Tribe,Q106395631,2.13
Port Gamble S'Klallam Tribe,Q106395898,2.22
Jamestown S'Klallam Tribe,Q106396961,2.22
Lummi Nation,Q107171994,2.15
Northern Cheyenne Tribe,Q2006701,2.98
Ajuuraan state,Q862532,3.58
Babenkovo,Q3920806,3.17
Viktorovka,Q3915397,3.07
Malovidnoe,Q4278104,3.04
Verhorechye,Q3915393,3.08
Vilino,Q3915403,3.43
Provisional Priamurye Government,Q1381504,3.04
State of Katanga,Q1148907,3.50
Republic of the Congo (Léopoldville),Q618399,3.59
Kingdom of Sicily,Q30890672,2.98
,Q11927108,1.60
United States of Stellaland,Q1362278,2.95
,Q21843509,2.03
Polish Socialistic Soviet Republic,Q24948646,2.07
State of Somaliland,Q1106857,3.01
Carlingford Lough,Q2369538,2.99
Jiangxinpo,Q11134440,1.96
,Q834896,2.03
zone under the control of the nationalist faction,Q5560770,2.54
Italian United Provinces,Q3968612,2.30
First Hellenic Republic,Q528546,3.01
Seminole Tribe of Florida,Q7449545,2.97
Serbian Despotate,Q878319,3.02
Griqualand West,Q2547918,2.18
Kazembe,Q5675285,2.84
Free City of Frankfurt,Q704300,3.21
Zhong Bank,Q58178862,1.39
Pend d'Oreilles,Q492901,2.98
Maricopa people,Q1750007,2.96
Commune of the Working People of Estonia,Q2182946,3.07
South Tibet,Q606223,2.55
Kingdom of Aksum,Q139377,4.58
Italian Partisan Republics,Q3456497,2.03
Alodia,Q449639,3.53
Litoral Department,Q844510,3.15
Squaxin Island Tribe,Q780825,3.66
